"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-R-000706","Marihuana Retailer - License","Ascend Cannabis Group","1415 Michigan AVE, East Lansing MI 48823","11/27/2023","Active","Home Delivery - Approved",,
"AU-P-000279","Marihuana Processor - License","Gage Cannabis Company","391 Midland RD, Bay City MI 48706","06/04/2023","Active",,,
"AU-ER-002733","Adult-Use Entity Registration - License","2growit LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003021","Adult-Use Entity Registration - License","No Limit Investment Group, LLC",,"05/20/2024","Active - Main Prequalified",,,
"AU-ER-003089","Adult-Use Entity Registration - License","PelleGreenCo, LLC",,"05/20/2024","Active - Main Prequalified",,,
"AU-ER-003020","Adult-Use Entity Registration - License","B Wilson Family LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000716","Marihuana Retailer - License","Dispo Romeo","100 Shafer DR, Romeo MI 48065","05/19/2023","Active","Home Delivery - approved","Public Documents Available",
"AU-G-C-000783","Class C Marihuana Grower - License","DKB2, LLC","32900 Dequindre RD Suite B, Warren MI 48092","05/19/2023","Active",,,
"AU-MB-000115","Marihuana Microbusiness - License","Indigrow, LLC","639 W Clay AVE, Muskegon MI 49440","05/19/2024","Active",,,
"AU-R-000713","Marihuana Retailer - License","Baker Curtis Cannabis Company","246 E M35, Gwinn MI 49841","05/19/2023","Active",,,
"AU-ER-003085","Adult-Use Entity Registration - License","FUTURE CROPS, LLC",,"05/19/2024","Active - Main Prequalified",,,
"AU-ER-003049","Adult-Use Entity Registration - License","KJR Solutions, LLC",,"05/19/2024","Active - Main Prequalified",,,
"AU-R-000709","Marihuana Retailer - License","Lumberjack's Provisioning Center","8975 S M37 HWY, Dowling MI 49050","05/19/2023","Active","Home Delivery - Approved",,
"AU-ER-002980","Adult-Use Entity Registration - License","Cannavana, LLC",,"05/19/2024","Active - Main Prequalified",,,
"AU-G-A-000121","Class A Marihuana Grower - License","Smart Decisions, Inc.","1256 Falahee RD, Jackson MI 49203","05/19/2023","Active",,,
"AU-G-C-000825","Class C Marihuana Grower - License","Doghouse Supreme Cannabis","9818 Grinnell ST, Detroit MI 48213","05/18/2023","Active",,,
"AU-ER-003037","Adult-Use Entity Registration - License","Leoni Wellness, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000784","Class C Marihuana Grower - License","Blue Rain Firm, Inc.","417 Maple ST, Kalkaska MI 49646","05/18/2023","Active",,,
"AU-ER-002775","Adult-Use Entity Registration - License","Man-Sing LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-MEO-000156","Marihuana Event Organizer - License","Beachgrass Events","520 N Main ST, Royal Oak MI 48067","05/18/2023","Active",,,
"AU-ER-003001","Adult-Use Entity Registration - License","RNJ Unlimited LLC",,"05/18/2024","Active - Main Prequalified",,,
"AU-ER-002747","Adult-Use Entity Registration - License","Tip Top Crop LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002932","Adult-Use Entity Registration - License","Ninja Goldfish, LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-G-B-000206","Class B Marihuana Grower - License","NMR 1, LLC","2112 Industrial DR, Niles MI 49120","05/20/2023","Active",,,
"AU-P-000288","Marihuana Processor - License","PDS Ventures, LLC","21445 HOOVER RD Suite 320, Warren MI 48089","12/06/2023","Active",,,
"AU-R-000714","Marihuana Retailer - License","Harbor Country Collective","6761 W US 12, Three Oaks MI 49128","12/10/2023","Active",,,
"AU-ER-003029","Adult-Use Entity Registration - License","MDMK Holdings, LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-002952","Adult-Use Entity Registration - License","DJ1 LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-002739","Adult-Use Entity Registration - License","CFMJ LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-002969","Adult-Use Entity Registration - License","Healthy Hi Inc",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-003074","Adult-Use Entity Registration - License","JCP Products, LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-SP-000234","Sole Proprietor Registration - License","Kory Dancer",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002931","Adult-Use Entity Registration - License","Pure Remedy LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-003069","Adult-Use Entity Registration - License","High Bud LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-003028","Adult-Use Entity Registration - License","Reassure, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002628","Adult-Use Entity Registration - License","Vibrant Cannabis, LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-002923","Adult-Use Entity Registration - License","CORE Med Farms LLC",,"05/17/2024","Active - Main Prequalified",,,
"AU-ER-002967","Adult-Use Entity Registration - License","Free Reign, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-EX-000270","Excess Marihuana Grower - License","R&H Investment Holdings LLC","48888 County Road 374, Lawrence MI 49064","06/18/2023","Active",,,
"AU-G-EX-000269","Excess Marihuana Grower - License","R&H Investment Holdings LLC","48888 County Road 374, Lawrence MI 49064","06/18/2023","Active",,,
"AU-G-EX-000268","Excess Marihuana Grower - License","R&H Investment Holdings LLC","48888 County Road 374, Lawrence MI 49064","06/18/2023","Active",,,
"AU-G-EX-000267","Excess Marihuana Grower - License","R&H Investment Holdings LLC","48888 County Road 374, Lawrence MI 49064","06/18/2023","Active",,,
"AU-G-EX-000266","Excess Marihuana Grower - License","R&H Investment Holdings LLC","48888 County Road 374, Lawrence MI 49064","06/18/2023","Active",,,
"AU-G-EX-000265","Excess Marihuana Grower - License","R&H Investment Holdings LLC","48888 County Road 374, Lawrence MI 49064","06/18/2023","Active",,,
"AU-ER-003055","Adult-Use Entity Registration - License","Joynt Holdings, Inc.",,"05/16/2024","Active - Main Prequalified",,,
"AU-ER-003075","Adult-Use Entity Registration - License","Slanu Canna LLC",,"05/16/2024","Active - Main Prequalified",,,
"AU-R-000693","Marihuana Retailer - License","Gage Cannabis Company","922 South Main ST, Adrian MI 49221","06/02/2023","Active",,,
"AU-G-C-000760","Class C Marihuana Grower - License","Brothers Cole, Inc.","52558 Burlington RD, Marcellus MI 49067","05/16/2023","Active",,,
"AU-R-000682","Marihuana Retailer - License","Joyology of Lowell","2399 W Main ST, Lowell MI 49331","02/09/2024","Active",,,
"AU-ER-003072","Adult-Use Entity Registration - License","Emerald Lake Holdings LLC",,"05/13/2024","Active - Main Prequalified",,,
"AU-P-000286","Marihuana Processor - License","Nirvana Center Processing","24290 Sherwood AVE, Center Line MI 48015","03/12/2024","Active",,,
"AU-ER-003053","Adult-Use Entity Registration - License","Iosco PR LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000705","Marihuana Retailer - License","High Profile Cannabis Shop","831 Highview DR, Webberville MI 48892","02/10/2024","Active",,,
"AU-ER-002942","Adult-Use Entity Registration - License","Starflow LLC",,"05/12/2024","Active - Main Prequalified",,,
"AU-P-000289","Marihuana Processor - License","High End Management LLC","1015 Barr AVE Suite 200, Lansing MI 48911","05/12/2023","Active",,,
"AU-G-C-000790","Class C Marihuana Grower - License","420 Medz, LLC","8505 E County Line RD, Coleman MI 48618","05/10/2023","Active",,,
"AU-ER-002912","Adult-Use Entity Registration - License","Marley Crops, LLC",,"05/12/2024","Active - Main Prequalified",,,
"AU-ER-002949","Adult-Use Entity Registration - License","Northwoods Harvest, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002989","Adult-Use Entity Registration - License","Park Consulting Group, LLC",,"05/12/2024","Active - Main Prequalified",,,
"AU-G-C-000757","Class C Marihuana Grower - License","Special Blend Gardens","21445 Hoover RD Suite 223, Warren MI 48089","05/12/2023","Active",,,
"AU-ER-002960","Adult-Use Entity Registration - License","MEDICINAL SOLUTIONS COMPASSIONATE CARE CORP",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000804","Class C Marihuana Grower - License","MI Matador, LLC","5590 Enterprise CT, Warren MI 48092","05/11/2023","License Void",,,
"AU-G-C-000766","Class C Marihuana Grower - License","Five Lakes Made LLC","831 Wealthy SW ST Suite B, Grand Rapids MI 49504","05/11/2023","Active",,,
"AU-G-C-000789","Class C Marihuana Grower - License","420 Medz, LLC","8505 E County Line RD, Coleman MI 48618","05/10/2023","Active",,,
"AU-G-B-000195","Class B Marihuana Grower - License","Michigan Mean Green LLC","9613 Brickyard RD, Holton MI 49425","05/11/2023","Active",,,
"AU-P-000282","Marihuana Processor - License","DF Michigan One Inc.","1727 E 8 Mile RD, Hazel Park MI 48030","05/11/2024","Active",,,
"AU-G-C-000788","Class C Marihuana Grower - License","420 Medz, LLC","8505 E County Line RD, Coleman MI 48618","05/10/2023","Active",,,
"AU-G-B-000199","Class B Marihuana Grower - License","The Legendary Leaf Inc","16932 Power DR, Nunica MI 49448","05/11/2023","Active",,,
"AU-G-C-000756","Class C Marihuana Grower - License","Central Coast Horticultural LLC","15297 Howard RD, Hanover MI 49241","02/24/2024","Active",,,
"AU-G-B-000191","Class B Marihuana Grower - License","HMG 21, Inc","4365 F41, Oscoda MI 48750","05/11/2023","Active",,,
"AU-G-C-000782","Class C Marihuana Grower - License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/10/2024","Active",,,
"AU-G-C-000781","Class C Marihuana Grower - License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/10/2024","Active",,,
"AU-G-C-000780","Class C Marihuana Grower - License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/10/2024","Active",,,
"AU-G-C-000779","Class C Marihuana Grower - License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/10/2024","Active",,,
"AU-G-C-000778","Class C Marihuana Grower - License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/10/2024","Active",,,
"AU-G-C-000787","Class C Marihuana Grower - License","420 Medz, LLC","8505 E County Line RD, Coleman MI 48618","05/10/2023","Active",,,
"AU-G-C-000786","Class C Marihuana Grower - License","420 Medz, LLC","8505 E County Line RD, Coleman MI 48618","05/10/2023","Active",,,
"AU-G-B-000204","Class B Marihuana Grower - License","Wellbudds","1347 Prospect AVE, Caro MI 48723","05/10/2023","Active",,,
"AU-ER-003046","Adult-Use Entity Registration - License","Marie Bridge Investment Group WB LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002975","Adult-Use Entity Registration - License","Melania Holdings, LLC",,"05/10/2024","Active - Main Prequalified",,,
"AU-ER-002920","Adult-Use Entity Registration - License","NRS Ventures LLC",,"05/10/2024","Active - Main Prequalified",,,
"AU-P-000280","Marihuana Processor - License","Shatter House","5920 S. Pennsylvania AVE, Lansing MI 48911","05/10/2024","Active",,,
"AU-ER-003006","Adult-Use Entity Registration - License","Secure Transport Systems LLC",,"05/10/2024","Active - Main Prequalified",,,
"AU-ER-002877","Adult-Use Entity Registration - License","CANNABISDIRECT, LLC",,"05/10/2024","Active - Main Prequalified",,,
"AU-ER-003039","Adult-Use Entity Registration - License","Beachgrass LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-003032","Adult-Use Entity Registration - License","Penn Township Farms LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002964","Adult-Use Entity Registration - License","LVL Retail Inc.",,"05/09/2024","Active - Main Prequalified",,,
"AU-ER-002963","Adult-Use Entity Registration - License","LVL Cultivation, LLC",,"05/09/2024","Active - Main Prequalified",,,
"AU-ER-002926","Adult-Use Entity Registration - License","PARADIGM BUSINESS HOLDINGS, LLC",,"05/09/2024","Active - Main Prequalified",,,
"AU-ER-002779","Adult-Use Entity Registration - License","MJBIN, LLC",,"05/09/2024","Active - Main Prequalified",,,
"AU-ER-002846","Adult-Use Entity Registration - License","SJTC ENTERPRISES, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-MEO-000153","Marihuana Event Organizer - License","LRS3, LLC","302 Sherman ST, Cassopolis MI 49031","05/06/2023","Active",,,
"AU-MEO-000154","Marihuana Event Organizer - License","POTENTPOINT LLC","8115 Hartwell ST, Detroit MI 48228","05/06/2023","Active",,,
"AU-G-C-000762","Class C Marihuana Grower - License","Bow House","2100 S. Washington AVE Suite 53C, Lansing MI 48910","05/06/2023","Active",,,
"AU-R-000708","Marihuana Retailer - License","Herbana","2001 W Saginaw ST, Lansing MI 48915","05/06/2023","Active",,,
"AU-ER-002543","Adult-Use Entity Registration - License","JG Michigan LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002959","Adult-Use Entity Registration - License","Prestige Provisioning, Inc.",,"05/06/2024","Active - Main Prequalified",,,
"AU-ER-003035","Adult-Use Entity Registration - License","Marcellus Investment Group LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002985","Adult-Use Entity Registration - License","Emerald Coast Cannabis Company, LLC",,"05/05/2024","Active - Main Prequalified",,,
"AU-ER-003024","Adult-Use Entity Registration - License","Pure Green Cove, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000737","Class C Marihuana Grower - License","HAFF GROUP FARMS LLC","8565 M37 HWY, HASTINGS MI 49058","05/05/2023","Active",,,
"AU-ER-002786","Adult-Use Entity Registration - License","Lab Link Testing LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002978","Adult-Use Entity Registration - License","BDE Warren, LLC",,"05/04/2024","Active - Main Prequalified",,,
"AU-ER-002717","Adult-Use Entity Registration - License","Enviro Analytical LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000777","Class C Marihuana Grower - License","Boxer Enterprises, LLC","23640 Pinewood ST, Warren MI 48091","05/04/2023","Active",,,
"AU-ER-002741","Adult-Use Entity Registration - License","Stay Puff'd LLC",,"05/04/2024","Active - Main Prequalified",,,
"AU-ER-002853","Adult-Use Entity Registration - License","ZIFFEL'S GENERAL STORE INC",,"05/04/2024","Active - Main Prequalified",,,
"AU-G-A-000120","Class A Marihuana Grower - License","Source 906","1500 N. Stephenson AVE, Iron Mountain MI 49801","05/04/2023","License Void",,,
"AU-R-000688","Marihuana Retailer - License","Sozo Cannabis","1101 Robert T. Longway BLVD, Flint MI 48503","06/19/2023","Active",,,
"AU-ER-003031","Adult-Use Entity Registration - License","Michigan Roots Cannabis, LLC",,"05/03/2024","Active - Main Prequalified",,,
"AU-ER-002745","Adult-Use Entity Registration - License","J & J Secure Transport, Inc.",,"05/03/2024","Active - Main Prequalified",,,
"AU-ER-003007","Adult-Use Entity Registration - License","WELLHEAD PROVISIONS LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002976","Adult-Use Entity Registration - License","BEE WELL CANNABIS CO. LLC",,"05/03/2024","Active - Main Prequalified",,,
"AU-G-C-000721","Class C Marihuana Grower - License","RedFox Cannabis","21445 Hoover RD Suite 216, Warren MI 48089","05/03/2023","Active",,,
"AU-ER-002714","Adult-Use Entity Registration - License","Green Skies - Hoover LLC",,"05/03/2024","Active - Main Prequalified",,,
"AU-ER-002998","Adult-Use Entity Registration - License","Sinse Green Acres LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002759","Adult-Use Entity Registration - License","SATORI13, LLC",,"05/02/2024","Active - Main Prequalified",,,
"AU-ER-003012","Adult-Use Entity Registration - License","Arctic Fox LLC",,"05/02/2024","Active - Main Prequalified",,,
"AU-ER-002999","Adult-Use Entity Registration - License","Private Stock Cannabis, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002971","Adult-Use Entity Registration - License","MLL Schoenherr, Inc.",,"12/31/2025","Active - Main Prequalified",,,
"AU-P-000275","Marihuana Processor - License","Exclusive Brands LLC","3755 Varsity DR, Ann Arbor MI 48108","11/18/2023","Active",,,
"AU-ER-002788","Adult-Use Entity Registration - License","Weedway, LLC",,"04/29/2024","Active - Main Prequalified",,,
"AU-G-EX-000261","Excess Marihuana Grower - License","FLURESH LLC","1213 Phillips SW AVE, Grand Rapids MI 49507","04/20/2023","Active",,,
"AU-ER-002894","Adult-Use Entity Registration - License","ADJ Enterprise, LLC",,"04/29/2024","Active - Main Prequalified",,,
"AU-ER-002981","Adult-Use Entity Registration - License","CULTIVATE MOTOR CITY LLC",,"04/29/2024","Active - Main Prequalified",,,
"AU-ER-003004","Adult-Use Entity Registration - License","Stoned Goat, LLC",,"04/29/2024","Active - Main Prequalified",,,
"AU-ER-002940","Adult-Use Entity Registration - License","HH Al Fresco, LLC",,"04/29/2024","Active - Main Prequalified",,,
"AU-ER-002992","Adult-Use Entity Registration - License","Farm Marcellus, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002947","Adult-Use Entity Registration - License","Golden Mist, LLC",,"04/28/2024","Active - Main Prequalified",,,
"AU-ER-002884","Adult-Use Entity Registration - License","MSV MI, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000703","Marihuana Retailer - License","Bazonzoes","920 American RD, Lansing MI 48911","08/28/2023","Active","Home Delivery - Approved",,
"AU-ER-002928","Adult-Use Entity Registration - License","JRC1111 LLC",,"04/28/2024","Active - Main Prequalified",,,
"AU-ER-002946","Adult-Use Entity Registration - License","TT GREENSPACE LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002979","Adult-Use Entity Registration - License","Pure Cannabis Provisions, LLC",,"04/28/2024","Active - Main Prequalified",,,
"AU-ER-002814","Adult-Use Entity Registration - License","Pravada Cannabis Company, LLC",,"04/28/2024","Active - Main Prequalified",,,
"AU-ER-002991","Adult-Use Entity Registration - License","Most Valuable Cannabis Company LLC",,"04/28/2024","Active - Main Prequalified",,,
"AU-ER-002934","Adult-Use Entity Registration - License","Reza Cultivation, LLC",,"04/28/2024","Active - Main Prequalified",,,
"AU-ER-002983","Adult-Use Entity Registration - License","Stingray 7 LTD",,"04/28/2024","Active - Main Prequalified",,,
"AU-G-C-000742","Class C Marihuana Grower - License","Wolverine-Buckeye Enterprises, LLC","415 Hammontree DR, Morenci MI 49256","04/28/2024","Active",,,
"AU-G-C-000725","Class C Marihuana Grower - License","ADAMS FAMILY FARMS, LLC","8100 SOUTH BROADWAY, HASTINGS MI 49058","10/14/2023","Active",,,
"AU-G-C-000724","Class C Marihuana Grower - License","ADAMS FAMILY FARMS, LLC","8100 SOUTH BROADWAY, HASTINGS MI 49058","10/14/2023","Active",,,
"AU-G-C-000741","Class C Marihuana Grower - License","Wolverine-Buckeye Enterprises, LLC","415 Hammontree DR, Morenci MI 49256","04/28/2024","Active",,,
"AU-ER-002840","Adult-Use Entity Registration - License","Pure Sun Grown LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002829","Adult-Use Entity Registration - License","Joe T LLC",,"04/28/2024","Active - Main Prequalified",,,
"AU-R-000711","Marihuana Retailer - License","Premier Provisioning Center LLC","1023 East Caro RD, Caro MI 48723","04/28/2024","Active","Home Delivery - Approved",,
"AU-ER-002990","Adult-Use Entity Registration - License","Wojo, LLC",,"04/27/2024","Active - Main Prequalified",,,
"AU-ER-002950","Adult-Use Entity Registration - License","Securecann III, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002580","Adult-Use Entity Registration - License","Michigan Community Collective, LLC",,"04/27/2024","Active - Main Prequalified",,,
"AU-MEO-000152","Marihuana Event Organizer - License","Green Koi Douglas","PO Box 978, Douglas MI 49406","03/24/2024","Active",,,
"AU-ER-002936","Adult-Use Entity Registration - License","Green Alchemy, LLC",,"04/27/2024","Active - Main Prequalified",,,
"AU-ER-002839","Adult-Use Entity Registration - License","Green Magik Industries, Inc.",,"04/27/2024","Active - Main Prequalified",,,
"AU-P-000274","Marihuana Processor - License","Trucenta LLC","21114 John R RD, Hazel Park MI 48030","02/19/2024","Active",,,
"AU-ER-002815","Adult-Use Entity Registration - License","Green Skies - Far West LLC",,"04/27/2024","Active - Main Prequalified",,,
"AU-ER-002818","Adult-Use Entity Registration - License","QR Hamtramck LLC",,"04/27/2024","Active - Main Prequalified",,,
"AU-R-000699","Marihuana Retailer - License","Fifth Element Cannabis Company LLC","6069 Holton RD, Twin Lake MI 49457","04/27/2023","Active",,,
"AU-ER-002711","Adult-Use Entity Registration - License","BSAT 2021, Inc.",,"04/26/2024","Active - Main Prequalified",,,
"AU-ST-000132","Marihuana Secure Transporter - License","Forrest Secure Transport, LLC","206 Elm ST, Kalkaska MI 49646","04/26/2023","Active",,,
"AU-ER-002899","Adult-Use Entity Registration - License","Superior Buds LLC",,"04/26/2024","Active - Main Prequalified",,,
"AU-G-C-000759","Class C Marihuana Grower - License","Kenney Pros, LLC","1978 Kenney AVE, Warren MI 48091","04/26/2024","Active",,,
"AU-R-000679","Marihuana Retailer - License","Harbor Farmz Provisioning, LLC","503 S. US-131, Three Rivers MI 49093","04/26/2024","Active",,,
"AU-MB-000113","Marihuana Microbusiness - License","MI Canna Connection","2541 Park Street, Muskegon Heights MI 49444","04/26/2023","Active",,,
"AU-ER-002879","Adult-Use Entity Registration - License","Greenstone Wellness, Inc",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000735","Class C Marihuana Grower - License","HIGH PEAK FARMS LLC","11801 Smugglers Pass RD, Frederic MI 49733","08/17/2023","Active",,,
"AU-G-C-000736","Class C Marihuana Grower - License","HIGH PEAK FARMS LLC","11801 Smugglers Pass RD, Frederic MI 49733","08/17/2023","Active",,,
"AU-G-B-000198","Class B Marihuana Grower - License","Apex Cannabis Company","2130 Apollo DR, Lansing MI 48906","04/26/2024","Active",,,
"AU-G-C-000738","Class C Marihuana Grower - License","Elysium Cultivation","24250 Mound RD, Warren MI 48091","12/17/2023","Active",,,
"AU-R-000700","Marihuana Retailer - License","Lake Life Farms","4116 17 mile RD Suite F, Cedar Springs MI 49319","04/25/2023","Active",,,
"AU-R-000696","Marihuana Retailer - License","Dutch Delight","2426 E. Huron RD, Au Gres MI 48703","04/25/2023","Active",,,
"AU-ER-002268","Adult-Use Entity Registration - License","Third Coast Botanical LLC",,"04/22/2024","Active - Main Prequalified",,,
"AU-G-C-000720","Class C Marihuana Grower - License","HRS Agriculture LLC","2300 E Ten Mile RD, Warren MI 48091","04/22/2023","Active",,,
"AU-G-C-000728","Class C Marihuana Grower - License","Biogold, LLC","711 White Oak ST, Decatur MI 49045","04/22/2023","Active",,,
"AU-G-C-000734","Class C Marihuana Grower - License","Northwoods Cultivation, LLC","2051 Traversefield DR, Traverse City MI 49686","03/15/2024","Active",,,
"AU-G-EX-000254","Excess Marihuana Grower - License","Dragonfly Vega","26980 County Road 215, Arlington MI 49013","07/21/2023","Active",,,
"AU-G-EX-000253","Excess Marihuana Grower - License","Dragonfly Vega","26980 County Road 215, Arlington MI 49013","07/21/2023","Active",,,
"AU-G-B-000185","Class B Marihuana Grower - License","JNN Property, LLC","7579 US Highway 131, Fife Lake MI 49633","04/21/2024","Active",,,
"AU-ER-002930","Adult-Use Entity Registration - License","Natural Organic Remedies Inc.",,"04/21/2024","Active - Main Prequalified",,,
"AU-G-C-000749","Class C Marihuana Grower - License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, Warren MI 48089","10/26/2023","Active",,"Public Documents Available",
"AU-G-C-000752","Class C Marihuana Grower - License","Apex Regional Farms, LLC","10675 E US 10, Chase MI 49623","04/21/2023","Active",,,
"AU-ER-002864","Adult-Use Entity Registration - License","Craft Hydroponic, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000755","Class C Marihuana Grower - License","Comco Wellness","12584 Wooden RD Bldg 2, Jonesville MI 49250","03/02/2023","License Void",,,
"AU-G-C-000754","Class C Marihuana Grower - License","Comco Wellness","12584 Wooden RD Bldg 2, Jonesville MI 49250","03/02/2023","License Void",,,
"AU-P-000278","Marihuana Processor - License","3300 Miller Road LLC","3300 Miller RD, Kalamazoo MI 49001","04/20/2024","Active",,,
"AU-P-000277","Marihuana Processor - License","Gamut Cannabis","601 Riggs DR, Cheboygan MI 49721","04/20/2024","Active",,,
"AU-ER-002943","Adult-Use Entity Registration - License","Hypothic, Inc",,"04/19/2024","Active - Main Prequalified",,,
"AU-ER-002944","Adult-Use Entity Registration - License","Sun & Moon Blossoms, LLC",,"04/19/2024","Active - Main Prequalified",,,
"AU-ER-002911","Adult-Use Entity Registration - License","Aries Analytic, L.L.C.",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000707","Marihuana Retailer - License","Cloud Cannabis New Baltimore","35269 Cricklewood BLVD, New Baltimore MI 48047","04/19/2023","Active","Home Delivery - Approved",,
"AU-ER-002366","Adult-Use Entity Registration - License","High End Management, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000701","Marihuana Retailer - License","The Armory of Sturgis","1103 North Centerville RD, Sturgis MI 49091","04/19/2023","Active",,,
"AU-G-C-000753","Class C Marihuana Grower - License","Bodega Farms","420 Harrison ST, Bay City MI 48708","04/19/2023","Active",,,
"AU-G-C-000729","Class C Marihuana Grower - License","Seven Point Supply, LLC","2830 Full Circle DR, Kalamazoo MI 49001","04/19/2023","Active",,,
"AU-G-C-000718","Class C Marihuana Grower - License","HRS Agriculture LLC","2300 E Ten Mile RD, Warren MI 48091","04/19/2023","Active",,,
"AU-ER-002898","Adult-Use Entity Registration - License","BB Wellness, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002721","Adult-Use Entity Registration - License","Kevy Bars LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002861","Adult-Use Entity Registration - License","Winston Jackson LLC",,"04/19/2024","Active - Main Prequalified",,,
"AU-ER-002801","Adult-Use Entity Registration - License","Granny Farm, LLC",,"04/19/2024","Active - Main Prequalified",,,
"AU-G-C-000751","Class C Marihuana Grower - License","Apex Regional Farms, LLC","10675 E US 10, Chase MI 49623","04/18/2024","Active",,,
"AU-G-C-000743","Class C Marihuana Grower - License","Apex Regional Farms, LLC","10675 E US 10, Chase MI 49623","04/18/2024","Active",,,
"AU-ER-002870","Adult-Use Entity Registration - License","Solara Botanical LLC",,"04/18/2024","Active - Main Prequalified",,,
"AU-ER-002858","Adult-Use Entity Registration - License","Michigan AU Green LLC",,"04/18/2024","Active - Main Prequalified",,,
"AU-ER-002896","Adult-Use Entity Registration - License","RKDT, LLC",,"04/18/2024","Active - Main Prequalified",,,
"AU-G-C-000739","Class C Marihuana Grower - License","Tango Jack","40390 Production DR Suite A,B,C,D, Harrison Township MI 48045","08/25/2023","Active",,,
"AU-R-000704","Marihuana Retailer - License","Spark Cannabis Company","1345 Prospect AVE, Caro MI 48723","04/18/2024","Active",,,
"AU-R-000694","Marihuana Retailer - License","Sapura","355 S. Willowbrook RD Suite F, Coldwater MI 49036","04/18/2023","Active",,,
"AU-G-B-000189","Class B Marihuana Grower - License","Cunningham's Craft Cannabis LLC","4550 Wayne RD, Springfield MI 49037","04/18/2024","Active",,,
"AU-ER-002965","Adult-Use Entity Registration - License","TJF Cultivation LLC",,"04/15/2024","Active - Main Prequalified",,,
"AU-ER-002988","Adult-Use Entity Registration - License","Accelerate Green, Inc.",,"04/15/2024","Active - Main Prequalified",,,
"AU-ER-002987","Adult-Use Entity Registration - License","Green Trend, Inc.",,"04/15/2024","Active - Main Prequalified",,,
"AU-ER-002893","Adult-Use Entity Registration - License","Universal Processors, LLC",,"04/15/2024","Active - Main Prequalified",,,
"AU-ER-002832","Adult-Use Entity Registration - License","Vassar Green House, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002795","Adult-Use Entity Registration - License","ESM HOLDINGS, LLC",,"04/15/2024","Active - Main Prequalified",,,
"AU-ER-002939","Adult-Use Entity Registration - License","Michigan Leaf LLC",,"04/15/2024","Active - Main Prequalified",,,
"AU-R-000684","Marihuana Retailer - License","Cedar Springs Cannabis Company","10 S Main ST, CEDAR SPRINGS MI 49319","04/15/2023","Active","Home Delivery - Approved",,
