"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"PR-000217","Processor - License","Leaf and Bud","14470 Livernois AVE Suite B, Detroit MI 48238","10/02/2023","Active",,,
"GR-C-001154","Class C Grower – License","Plush Companies","6755 E. Apple AVE, Muskegon MI 49442","02/07/2023","Closed",,,
"GR-C-001124","Class C Grower – License","HiCloud, LLC","7655 E. M-20, Hesperia MI 49421","04/28/2023","Active",,,
"GR-C-001123","Class C Grower – License","HiCloud, LLC","7655 E. M-20, Hesperia MI 49421","04/28/2023","Active",,,
"GR-C-001122","Class C Grower – License","HiCloud, LLC","7655 E. M-20, Hesperia MI 49421","04/28/2023","Active",,,
"GR-C-001121","Class C Grower – License","HiCloud, LLC","7655 E. M-20, Hesperia MI 49421","04/28/2023","Active",,,
"GR-C-001120","Class C Grower – License","HiCloud, LLC","7655 E. M-20, Hesperia MI 49421","04/28/2023","Active",,,
"GR-C-001119","Class C Grower – License","HiCloud, LLC","7655 E. M-20, Hesperia MI 49421","04/28/2023","Active",,,
"GR-C-001118","Class C Grower – License","HiCloud, LLC","7655 E. M-20, Hesperia MI 49421","04/28/2023","Active",,,
"ERG-004504","Entity Prequalification","190 N 20th Street, Inc.",,"06/01/2024","Active - Main Applicant",,,
"ERG-004509","Entity Prequalification","Le Retailer, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-001080","Class C Grower – License","ReLeaf Farms LLC","4855 Oak RD Suite A, Vassar MI 48768","06/01/2023","Active",,,
"PC-000785","Provisioning Center - License","Sticky Muskegon","1965 Peck ST, Muskegon MI 49441","11/08/2022","Closed",,,
"ERG-004503","Entity Prequalification","Most Valuable Cannabis Company LLC",,"06/01/2024","Active - Main Applicant",,,
"ERG-004500","Entity Prequalification","Level Up Holdings, LLC",,"06/01/2024","Active - Main Applicant",,,
"ERG-004471","Entity Prequalification","Omeena Farms, LLC",,"06/01/2024","Active - Main Applicant",,,
"PR-000303","Processor - License","DF Michigan One, Inc.","1727 E 8 Mile RD, Hazel Park MI 48030","05/31/2023","Active",,,
"GR-A-000228","Class A Grower – License","TAS Asset Holdings LLC","428 N. Cedar ST, Lansing MI 48912","02/25/2023","Closed",,,
"ERG-004506","Entity Prequalification","306 W Columbia Ave, Inc.",,"05/26/2024","Active - Main Applicant",,,
"ERG-004505","Entity Prequalification","477 W Michigan, Inc.",,"05/25/2024","Active - Main Applicant",,,
"ERG-004507","Entity Prequalification","3300 Miller Road LLC",,"05/25/2024","Active - Main Applicant",,,
"GR-C-001047","Class C Grower – License","DRD Michigan, LLC","11117 Wooden RD, Hanover MI 49241","05/24/2023","Active",,,
"ERG-004445","Entity Prequalification","Lou's Flowers, Inc.",,"05/24/2024","Active - Main Applicant",,,
"ERG-004446","Entity Prequalification","HH Al Fresco, LLC",,"05/24/2024","Active - Main Applicant",,,
"ERG-004499","Entity Prequalification","LVL Retail, Inc.",,"05/24/2024","Active - Main Applicant",,,
"ERG-004498","Entity Prequalification","LVL Cultivation, LLC",,"05/24/2024","Active - Main Applicant",,,
"ERG-004497","Entity Prequalification","DJ1 LLC",,"05/24/2024","Active - Main Applicant",,,
"PC-000800","Provisioning Center - License","Dreams Canna","28930 South Telegraph RD, Southfield MI 48034","05/24/2023","Active","Approved",,
"GR-C-001147","Class C Grower – License","Oceana Gardens","2514 S. 186TH AVE, Hesperia MI 49421","05/24/2023","Active",,,
"GR-C-001093","Class C Grower – License","Vandalia Organics","16785 Donnell Lake ST, Vandalia MI 49095","05/24/2023","Active",,,
"GR-C-001092","Class C Grower – License","Vandalia Organics","16785 Donnell Lake ST, Vandalia MI 49095","05/24/2023","Active",,,
"PR-000298","Processor - License","CLDD, LLC","2701 N. Dettman RD Unit 2, Jackson MI 49201","10/29/2023","Active",,,
"GR-C-001091","Class C Grower – License","BPMD Realty, LLC","16785 Donnell Lake ST, Vandalia MI 49095","05/20/2023","Active",,,
"PC-000795","Provisioning Center - License","Planet 59","4641 Highland RD, Waterford MI 48328","05/19/2023","Active","Approved",,
"GR-A-000225","Class A Grower – License","Urban Medical Farms LLC","9700 E 8 mile RD, Detroit MI 48234","10/26/2023","Active",,,
"PC-000787","Provisioning Center - License","Dutch Delight, LLC","2426 E. Huron RD, Au Gres MI 48703","05/18/2023","Active",,,
"PC-000791","Provisioning Center - License","Ascend Cannabis Group","1415 Michigan AVE, East Lansing MI 48823","07/29/2023","Active","Approved",,
"PC-000663","Provisioning Center - License","Proper Leaf Cannabis Company","81057 Main ST, Memphis MI 48041","04/21/2023","Active",,,
"PR-000293","Processor - License","Gage Cannabis Company","391 Midland RD, Bay City MI 48706","07/30/2023","Active",,,
"ERG-004496","Entity Prequalification","AWQ Investment LLC",,"05/17/2024","Active - Main Applicant",,,
"ST-000067","Secure Transporter - License","Secure Transport of Michigan, LLC","1291 Kitson AVE, Sturgis MI 49091","05/17/2023","Active",,,
"GR-C-001087","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2023","Active - Late Renewal",,,
"GR-C-001086","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2023","Active - Late Renewal",,,
"GR-C-001085","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2023","Active - Late Renewal",,,
"ERG-004495","Entity Prequalification","TJF Cultivation LLC",,"05/17/2024","Active - Main Applicant",,,
"GR-C-001084","Class C Grower – License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2023","Active - Late Renewal",,,
"GR-B-000035","Class B Grower – License","Care By Design Health and Wellness Market Inc.","1248 East Airway AVE, White Cloud MI 49349","02/18/2023","Closed",,,
"ERG-004443","Entity Prequalification","GJAPNUNA LLC",,"05/17/2024","Active - Main Applicant",,,
"ERG-004456","Entity Prequalification","Lake Lancer LLC",,"05/17/2024","Active - Main Applicant",,,
"ERG-004490","Entity Prequalification","Green Trend, Inc.",,"05/17/2024","Active - Main Applicant",,,
"ERG-004475","Entity Prequalification","Better Than Nature, LLC",,"05/17/2024","Active - Main Applicant",,,
"PC-000784","Provisioning Center - License","Gage Cannabis Company","922 South Main ST, Adrian MI 49221","05/16/2023","Active",,,
"GR-C-001117","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2024","Active",,,
"GR-C-001116","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2024","Active",,,
"GR-C-001115","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2024","Active",,,
"GR-C-001114","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2024","Active",,,
"GR-C-001113","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2024","Active",,,
"GR-C-001112","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2024","Active",,,
"PR-000295","Processor - License","Nirvana Center Processing","24290 Sherwood AVE, Center Line MI 48015","05/13/2023","Active",,,
"GR-C-001111","Class C Grower – License","Hi Hills","24993 County Road 665, Bloomingdale MI 49026","05/13/2024","Active",,,
"GR-C-001079","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001077","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001076","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001075","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001074","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001073","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001071","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001070","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-C-001065","Class C Grower – License","Skymint Brands","7065 North Kings HWY, Luther MI 49656","10/18/2022","Closed",,,
"GR-A-000229","Class A Grower – License","Terrapin Harvest Circle, LLC","9313 N. Dort HWY, Mt. Morris MI 48458","05/12/2023","Active",,,
"ERG-004482","Entity Prequalification","Slanu Canna LLC",,"05/12/2024","Active - Main Applicant",,,
"GR-C-001083","Class C Grower – License","Special Blend Gardens","21445 Hoover RD Suite 223, Warren MI 48089","05/11/2023","Active",,,
"ERG-004454","Entity Prequalification","Wise Guys Farms LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004472","Entity Prequalification","Leoni Enterprises, LLC",,"05/10/2024","Active - Main Applicant",,,
"ERG-004395","Entity Prequalification","Kiezi Group LLC",,"05/10/2024","Active - Main Applicant",,,
"ERG-004478","Entity Prequalification","The Ferme, LLC",,"05/10/2024","Active - Main Applicant",,,
"ERG-004485","Entity Prequalification","Paragon Growers, LLC",,"05/10/2024","Active - Main Applicant",,,
"GR-C-001090","Class C Grower – License","ReLeaf Emporium","21445 Hoover RD Suite 315A, Warren MI 48089","03/15/2023","Active - Late Renewal",,,
"PR-000280","Processor - License","Layercake Farms 2, LLC","1850 Parmenter RD, Corunna MI 48817","05/26/2023","Suspended",,,
"PR-000262","Processor - License","Old 27 Buds Etc., LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2023","Active",,,
"GR-C-001058","Class C Grower – License","Comco Wellness","12584 Wooden RD Bldg 2, Jonesville MI 49250","02/21/2023","Active - Late Renewal",,,
"GR-C-001060","Class C Grower – License","Comco Wellness","12584 Wooden RD Bldg 2, Jonesville MI 49250","02/21/2023","Active - Late Renewal",,,
"GR-C-001061","Class C Grower – License","Comco Wellness","12584 Wooden RD Bldg 2, Jonesville MI 49250","02/21/2023","Active - Late Renewal",,,
"PC-000793","Provisioning Center - License","Sozo Cannabis","1101 Robert T. Longway BLVD, Flint MI 48503","12/19/2023","Active",,,
"ERG-004337","Entity Prequalification","Shryne Orion I, LLC",,"05/03/2024","Active - Main Applicant",,,
"ERG-004458","Entity Prequalification","DAMM, LLC",,"05/03/2024","Active - Main Applicant",,,
"ERG-004477","Entity Prequalification","OI Processing, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004461","Entity Prequalification","BDE Warren, LLC",,"04/28/2024","Active - Main Applicant",,,
"PR-000277","Processor - License","Trucenta LLC","21114 John R RD, Hazel Park MI 48030","08/16/2023","Active",,,
"ERG-004453","Entity Prequalification","Teleology LLC",,"04/27/2024","Active - Main Applicant",,,
"ERG-004474","Entity Prequalification","UM1, LLC",,"12/31/2099","Active - Main Applicant",,,
"PR-000294","Processor - License","Iosco PR LLC","4611 Turtle RD, Turner MI 48765","04/26/2023","Active",,"Public Documents Available",
"PR-000278","Processor - License","Exclusive Ann Arbor","3755 Varsity DR, Ann Arbor MI 48108","09/10/2023","Active",,,
"GR-C-000524","Class C Grower – License","High Grade Michigan","701 E South ST Suite 150, Lansing MI 48910","04/26/2023","Active",,,
"GR-C-000523","Class C Grower – License","High Grade Michigan","701 E South ST Suite 150, Lansing MI 48910","04/26/2023","Active",,,
"ERG-004442","Entity Prequalification","TC Gardens LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004450","Entity Prequalification","1401 Case Growing LLC",,"04/26/2024","Active - Main Applicant",,,
"ERG-004400","Entity Prequalification","DF Michigan One Inc.",,"12/31/2099","Active - Main Applicant",,,
"PC-000788","Provisioning Center - License","Rair","104 North Drake RD, Kalamazoo MI 49009","10/08/2022","Closed","Approved",,
"PR-000243","Processor - License","NuEra Michigan","1268 Arbogast RD, Union City MI 49094","06/23/2023","Active",,,
"ERG-004462","Entity Prequalification","Wojo, LLC",,"04/21/2024","Active - Main Applicant",,,
"ERG-004468","Entity Prequalification","Waves of Green Collective, LLC",,"04/21/2024","Active - Main Applicant",,,
"ERG-004432","Entity Prequalification","Rooted and Zooted Processing, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004464","Entity Prequalification","TEDJ, LLC",,"04/20/2024","Active - Main Applicant",,,
"ERG-004467","Entity Prequalification","Northern Healing Investments, LLC",,"04/20/2024","Active - Main Applicant",,,
"ERG-004435","Entity Prequalification","665 Ventures, LLC",,"04/20/2024","Active - Main Applicant",,,
"GR-C-001063","Class C Grower – License","Comco Wellness","12559 Luttenton RD, Jonesville MI 49250","02/21/2023","Active - Late Renewal",,,
"GR-C-001062","Class C Grower – License","Comco Wellness","12559 Luttenton RD, Jonesville MI 49250","02/21/2023","Active - Late Renewal",,,
"GR-C-001059","Class C Grower – License","Comco Wellness","12559 Luttenton RD, Jonesville MI 49250","02/21/2023","Active - Late Renewal",,,
"ERG-004429","Entity Prequalification","Garden Holdings R, LLC",,"04/19/2024","Active - Main Applicant",,,
"ERG-004427","Entity Prequalification","Garden Holdings P, LLC",,"04/19/2024","Active - Main Applicant",,,
"ERG-004421","Entity Prequalification","Garden Holdings C, LLC",,"04/19/2024","Active - Main Applicant",,,
"ERG-004410","Entity Prequalification","SSDLG, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-001043","Class C Grower – License","Butter","1110 Tower ST, Flint MI 48503","04/18/2024","Active",,,
"ERG-003406","Entity Prequalification","Primitiv Holdings, LLC",,"04/15/2024","Active - Main Applicant",,,
"ERG-004447","Entity Prequalification","TT Greenspace, LLC",,"04/14/2024","Active - Main Applicant",,,
"PC-000782","Provisioning Center - License","LightSky Farms Burton","3055 E Bristol RD, Burton MI 48529","04/13/2023","Active",,,
"ERG-004349","Entity Prequalification","LUCID Detroit, Inc.",,"04/13/2024","Active - Main Applicant",,,
"ERG-004404","Entity Prequalification","Dia Holdings LLC",,"04/12/2024","Active - Main Applicant",,,
"ERG-004430","Entity Prequalification","Legal Green 313, LLC",,"04/12/2024","Active - Main Applicant",,,
"ERG-004417","Entity Prequalification","Terrapin Harvest Circle, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004384","Entity Prequalification","Emerald Canning Partners, LLC",,"04/12/2024","Active - Main Applicant",,,
"ERG-004177","Entity Prequalification","Agricor Laboratories MI, Inc.",,"12/31/2099","Active - Main Applicant",,,
"GR-C-001046","Class C Grower – License","Great Lakes Logistical Experts, LLC","1380 E. Pinconning RD, Pinconning MI 48650","04/08/2023","Active",,,
"PC-000775","Provisioning Center - License","Talifer Holdings, LLC","3301 W. Michigan AVE, Battle Creek MI 49037","04/07/2023","Active",,,
"ERG-004179","Entity Prequalification","Cannabis Creations, LLC",,"04/07/2024","Active - Main Applicant",,,
"ERG-004405","Entity Prequalification","MNS GROUP, LLC",,"04/07/2024","Active - Main Applicant",,,
"ERG-004452","Entity Prequalification","PKJAA, LLC",,"04/07/2024","Active - Main Applicant",,,
"ERG-004449","Entity Prequalification","Sunrise Forest, LLC",,"04/07/2024","Active - Main Applicant",,,
"ERG-004434","Entity Prequalification","Pure Labs of Southfield, LLC",,"04/07/2024","Active - Main Applicant",,,
"ERG-004436","Entity Prequalification","Alchemy Wellness, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004437","Entity Prequalification","Honalee Cannabis Company, LLC",,"04/07/2024","Active - Main Applicant",,,
"ERG-004438","Entity Prequalification","Ox Tail - Lincoln Park Inc.",,"12/31/2099","Active - Main Applicant",,,
"PR-000292","Processor - License","Gage Cannabis Company","41225 Production DR, Harrison Township MI 48045","07/18/2023","Active",,,
"GR-B-000034","Class B Grower – License","Vassar Green House, LLC","3867 Crooked Creek, Vassar MI 48768","04/06/2023","Active",,,
"GR-A-000224","Class A Grower – License","Apex Cannabis Company","2130 Apollo DR, Lansing MI 48906","04/06/2023","Active",,,
"ERG-004448","Entity Prequalification","Westfield Group LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000779","Provisioning Center - License","MPP Services, LLC","2122 N MLK Blvd Suite B, Lansing MI 48906","04/05/2023","Active",,,
"PC-000774","Provisioning Center - License","Highway 420 Holdings, LLC","3769 W. Michigan AVE, Battle Creek MI 49037","04/05/2023","Active",,,
"PC-000783","Provisioning Center - License","LIV Cannabis","453 S. Broadway ST, Lake Orion MI 48362","04/01/2024","Active","Approved",,
"PC-000780","Provisioning Center - License","JARS Cannabis","901 W Main ST, Owosso MI 48867","03/31/2024","Active","Approved",,
"PC-000769","Provisioning Center - License","Levels of Big Rapids","1709 S. State ST, Big Rapids MI 49307","03/21/2023","Active - Late Renewal",,"Public Documents Available",
"ERG-004373","Entity Prequalification","Michigan Institute of Toxicology, P.C.",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000214","Class A Grower – License","Smart Decisions, Inc.","1256 Falahee RD, Jackson MI 49203","03/22/2023","Active - Late Renewal",,,
"ERG-004393","Entity Prequalification","Lab Link Testing LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004401","Entity Prequalification","NTK Investments, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004424","Entity Prequalification","RQMPAM, LLC",,"03/22/2024","Active - Main Applicant",,,
"IRG-008103","Individual Prequalification","Brien Donaldson",,"03/22/2024","Active - Main Applicant",,,
"PC-000777","Provisioning Center - License","JARS Cannabis","2790 Blue Star HWY, Fennville MI 49408","04/21/2024","Active",,,
"PR-000276","Processor - License","Warren Supply Chain Services","23455 Regency Park DR Suite A, Warren MI 48089","08/16/2023","Active",,,
"GR-C-001050","Class C Grower – License","Private Stock Cannabis, LLC","21445 Hoover RD Suite 220, Warren MI 48089","11/08/2023","Active",,"Public Documents Available",
"GR-C-001049","Class C Grower – License","Private Stock Cannabis, LLC","21445 Hoover RD Suite 220, Warren MI 48089","11/08/2022","Closed",,"Public Documents Available",
"GR-C-001048","Class C Grower – License","Private Stock Cannabis, LLC","21445 Hoover RD Suite 220, Warren MI 48089","11/08/2022","Closed",,"Public Documents Available",
"GR-C-001041","Class C Grower – License","The Reef","11766 Commerce ST, Warren MI 48089","03/21/2023","Active - Late Renewal",,,
"ERG-004406","Entity Prequalification","Lapeer's A&B LLC",,"03/17/2024","Active - Main Applicant",,,
"ERG-004350","Entity Prequalification","Lucky Buds II, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000772","Provisioning Center - License","Lemonati","1120 East Oakland AVE, Lansing MI 48906","03/17/2023","Closed",,,
"GR-C-001051","Class C Grower – License","Betty Corporation","25800 Groesbeck HWY, Warren MI 48089","03/17/2023","Active - Late Renewal",,,
"ERG-004415","Entity Prequalification","A-ONE VENTURES INC.",,"03/17/2024","Active - Main Applicant",,,
"ERG-004407","Entity Prequalification","DNVK 1 LLC",,"03/17/2024","Active - Main Applicant",,,
"ERG-004370","Entity Prequalification","The O.G Team, LLC",,"03/17/2024","Active - Main Applicant",,,
"ERG-004418","Entity Prequalification","Gam Gro llc",,"03/17/2024","Active - Main Applicant",,,
"GR-C-000484","Class C Grower – License","ReLeaf Emporium","21445 Hoover RD Suite 315A, Warren MI 48089","03/15/2024","Active",,,
"GR-C-001040","Class C Grower – License","The Reef","11766 Commerce ST, Warren MI 48089","03/21/2023","Active - Late Renewal",,,
"PR-000271","Processor - License","Rogue Cannabis","6683 Cannon Center DR Bldg 2, Rockford MI 49341","06/07/2023","Active",,,
"PC-000770","Provisioning Center - License","Neighborhood Provisions","909 W. Washington AVE, Alpena MI 49707","03/15/2024","Active","Approved",,
"GR-A-000223","Class A Grower – License","Riverside Medical Grow Frederic","4770 Old 27 N, Frederic MI 49733","03/15/2024","Active",,,
"PR-000246","Processor - License","Highway Horticulture Productions","15325 W Michigan AVE, Marshall MI 49068","03/15/2024","Active",,,
"ERG-004371","Entity Prequalification","CW-MI-LAP-14500, LLC",,"03/15/2024","Active - Main Applicant",,,
"IRG-007912","Individual Prequalification","Narek Yesayan",,"03/14/2024","Active - Main Applicant",,,
"PC-000765","Provisioning Center - License","LIV Cannabis","2625 Hilton RD Suite 100, Ferndale MI 48220","03/11/2024","Active","Approved",,
"PR-000272","Processor - License","JARS Cannabis","26700 Liberal ST Suite 2, Center Line MI 48015","04/21/2024","Active",,,
"PR-000269","Processor - License","Ferndale Maize LLC","163 Premier DR Bldg A, Orion Charter Township MI 48359","03/11/2024","Active",,,
"GR-C-001042","Class C Grower – License","Northwoods Cultivation, LLC","2051 Traversefield DR, Traverse City MI 49686","03/11/2024","Active",,,
"GR-C-000991","Class C Grower – License","Wilder Pharms","4401 Ace Commercial CT, Bay City MI 48706","03/11/2024","Active",,,
"GR-B-000028","Class B Grower – License","West Coast Meds, LLC","8620 Lyndon ST, Detroit MI 48238","07/26/2023","Active",,,
"ERG-004388","Entity Prequalification","Pure Releaf SP Drive, LLC",,"03/09/2024","Active - Main Applicant",,,
"ERG-004391","Entity Prequalification","Nature's Remedy of Pontiac, LLC",,"03/09/2024","Active - Main Applicant",,,
"ERG-004355","Entity Prequalification","MB Joint Enterprise, LLC",,"03/09/2024","Active - Main Applicant",,,
"PR-000264","Processor - License","Woodrock Holdings, Inc.","51543 Industrial DR Suite B, New Baltimore MI 48047","03/08/2024","Active",,,
"PR-000275","Processor - License","Sugars Refinery LLC","495 Worden South ST, Marcellus MI 49067","03/08/2023","Active - Late Renewal",,,
"ERG-004387","Entity Prequalification","DAVISON FACTORY, LLC",,"03/08/2024","Active - Main Applicant",,,
"PC-000103","Provisioning Center - License","Herbal Solutions","124 W. Michigan AVE, Ypsilanti MI 48197","03/07/2024","Active","Approved",,
"PC-000768","Provisioning Center - License","Grand Slam Holdings, LLC","5508 South Cedar ST, Lansing MI 48911","03/07/2023","Active - Late Renewal",,,
"ERG-004382","Entity Prequalification","Enviro Analytical LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004352","Entity Prequalification","RCOZ LLC",,"03/04/2024","Active - Main Applicant",,,
"PC-000753","Provisioning Center - License","BLOC","200 E Main ST, Benton Harbor MI 49022","03/03/2023","Active - Late Renewal",,,
"ERG-004379","Entity Prequalification","SSM Michigan Holdings, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000767","Provisioning Center - License","JARS Cannabis","26700 Liberal ST Suite 1, Center Line MI 48015","04/21/2024","Active","Approved",,
"ERG-004403","Entity Prequalification","Jazz Club 2, LLC",,"03/03/2024","Active - Main Applicant",,,
"ERG-004389","Entity Prequalification","J & J Secure Transport, Inc.",,"03/02/2024","Active - Main Applicant",,,
"ERG-004397","Entity Prequalification","Green Cross Logistics, LLC",,"03/02/2024","Active - Main Applicant",,,
"ERG-004178","Entity Prequalification","Atharva LLC",,"03/02/2024","Active - Main Applicant",,,
"GR-A-000220","Class A Grower – License","Source 906","1500 N. Stephenson AVE, Iron Mountain MI 49801","03/01/2023","Active - Late Renewal",,,
"ERG-004160","Entity Prequalification","Spartan Partners Corporation",,"02/28/2024","Active - Main Applicant",,,
"GR-C-001034","Class C Grower – License","WCR Development, LLC","2611 Nodular DR, Saginaw MI 48601","02/25/2024","Active",,,
"ERG-004394","Entity Prequalification","CSED Enterprises, LLC",,"02/25/2024","Active - Main Applicant",,,
"ERG-004377","Entity Prequalification","Native Leaf, LLC",,"02/25/2024","Active - Main Applicant",,,
"PR-000267","Processor - License","TAS Asset Holdings LLC","919 Filley ST Suite A, Lansing MI 48906","02/25/2023","Suspended",,"Public Documents Available",
"GR-C-001039","Class C Grower – License","Aspen Extreme, LLC","26403 Groesbeck HWY, Warren MI 48089","02/24/2023","Active - Late Renewal",,,
"ERG-004333","Entity Prequalification","Deep Blue Labs, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004375","Entity Prequalification","Warren Capital Holdings LLC",,"02/24/2024","Active - Main Applicant",,,
"ERG-004386","Entity Prequalification","Our Friendly Gardens, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000103","Class A Grower – License","Divine Cannabis Company","3180 W. Saginaw Road, Vassar Twp. MI 48768","02/23/2024","Active",,,
"ERG-004392","Entity Prequalification","GLED Enterprises LLC",,"02/17/2024","Active - Main Applicant",,,
"ERG-004359","Entity Prequalification","Acme North Operating LLC",,"02/17/2024","Active - Main Applicant",,,
"PC-000759","Provisioning Center - License","Bud Brothers Battle Creek","537 W. Columbia AVE, Battle Creek MI 49015","11/17/2023","Active",,,
"GR-C-001032","Class C Grower – License","Green Michigan USA LLC","4141 N 7 Mile RD, Pinconning MI 48650","02/17/2024","Active",,,
"ERG-000331","Entity Prequalification","THC Holding Corp.",,"12/31/2099","Active - Main Applicant",,,
"PC-000771","Provisioning Center - License","315 North","26831 Michigan AVE, Inkster MI 48141","02/16/2024","Active","Approved",,
"PC-000533","Provisioning Center - License","Endo","307 E Beecher ST, Adrian MI 49221","10/26/2023","Active","Approved",,
"ERG-004278","Entity Prequalification","MTF VENTURES, LLC",,"02/16/2024","Active - Main Applicant",,,
"ERG-004367","Entity Prequalification","JVNIR Investments, LLC",,"02/16/2024","Active - Main Applicant",,,
"ERG-004368","Entity Prequalification","Betty Corporation",,"12/31/2099","Active - Main Applicant",,,
"GR-C-001037","Class C Grower – License","Wolverine-Buckeye Enterprises, LLC","415 Hammontree DR, Morenci MI 49256","02/15/2024","Active",,,
"PC-000766","Provisioning Center - License","Lume Cannabis Co.","26760 Lahser RD, Southfield MI 48033","03/21/2023","Active - Late Renewal",,,
"ERG-004329","Entity Prequalification","DCC Margo, Inc.",,"02/15/2024","Active - Main Applicant",,,
"ERG-004224","Entity Prequalification","Clay Canna Ventures, LLC",,"02/15/2024","Active - Main Applicant",,,
"ERG-004210","Entity Prequalification","Cap Investment Holdings LLC",,"02/15/2024","Active - Main Applicant",,,
"SC-000030","Safety Compliance - License","Reassure, Inc.","26692 Groesbeck HWY, Warren MI 48089","02/15/2024","Active",,,
"ERG-004372","Entity Prequalification","Lando Land LLC",,"02/14/2024","Active - Main Applicant",,,
"GR-B-000033","Class B Grower – License","Arjuna, LLC","3110 Turner ST Suite 3L, Lansing MI 48906","02/11/2024","Active",,,
"ERG-004196","Entity Prequalification","Johnson and Clark Investments, LLC",,"02/09/2024","Active - Main Applicant",,,
"ERG-004363","Entity Prequalification","Iosco PR LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004362","Entity Prequalification","Matti Enterprises, LLC",,"02/09/2024","Active - Main Applicant",,,
"ERG-004364","Entity Prequalification","Precision Analytics, LLC",,"02/09/2024","Active - Main Applicant",,,
"ERG-004361","Entity Prequalification","The Earle of Smoke, LLC",,"02/09/2024","Active - Main Applicant",,,
"GR-A-000216","Class A Grower – License","McMaster Enterprises, LLC","1600 North Grand River, Lansing MI 48906","02/08/2023","Active - Late Renewal",,,
"GR-C-001038","Class C Grower – License","Bodega Farms","420 Harrison ST, Bay City MI 48708","02/08/2023","Active - Late Renewal",,,
"ERG-004365","Entity Prequalification","Asbey Holdings LLC",,"02/08/2024","Active - Main Applicant",,,
"ERG-003441","Entity Prequalification","BLACKSTONE HARVEST, LLC",,"02/08/2024","Active - Main Applicant",,,
"GR-C-001035","Class C Grower – License","Leela Herb Company","406 S. Park DR, Kalkaska MI 49646","11/16/2022","Closed",,,
"PC-000764","Provisioning Center - License","LIV Cannabis","6285 Martin Luther King Jr. BLVD, Lansing MI 48911","02/03/2024","Active","Approved",,
"ERG-004190","Entity Prequalification","Lios MI, LLC",,"02/03/2024","Active - Main Applicant",,,
"ERG-004345","Entity Prequalification","Pure Cannabis Provisions, LLC",,"02/03/2024","Active - Main Applicant",,,
"ERG-002973","Entity Prequalification","R&Y Group, LLC",,"02/01/2024","Active - Main Applicant",,,
"PC-000240","Provisioning Center - License","The Noggin Shop","52324 Duncan AVE, Hubbell MI 49934","01/31/2024","Active",,,
"GR-C-001009","Class C Grower – License","Cherry Industries LLC","6387 East Nevada ST, Detroit MI 48234","06/23/2022","Closed",,,
